Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0201453224666452,-0.0448658716611588,0.0388377863587419,0,0,0,0.0269834813442291,2.59039726522864E-06,3.70527539262375E-09,-2.11824533769868E-08,6.03159376226408E-06,-9.87673076363991E-08,5.92223995570276E-06,0,0,0,0,0,0,package://Smarticle_URDF/meshes/base_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Smarticle_URDF/meshes/base_link.STL,,Case_3-1;Servo - Assembly-4/Servo - Body-1;Battery - Assembly-2/Battery - Body-1;Feather-2;TopBoard-4;Servo - Assembly-5/Servo - Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_arm,0.0285759578393724,-1.97634308540112E-06,-0.020625500679824,0,0,0,0.00390817547516661,4.94502559652727E-07,5.25259688971173E-23,-7.58600501805202E-08,1.0975431871728E-06,4.54949336904165E-24,6.12705540710704E-07,0,0,0,0,0,0,package://Smarticle_URDF/meshes/right_arm.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Smarticle_URDF/meshes/right_arm.STL,,Half_Arm-1;Servo - Assembly-5/Servo - Horn-1,Origin_right_servo,Axis_right_servo,right_servo,continuous,-0.0017576,-0.044679,0.025242,-3.1416,0,-3.1366,base_link,0,0,1,0.039,6.283,-3.15,3.15,,,,,,,,
left_arm,0.0285759132134806,2.02042070958364E-06,-0.0206255006798241,0,0,0,0.00390817547516661,4.94502559652728E-07,1.62127400060393E-22,-7.58600501805201E-08,1.0975431871728E-06,2.99852972050473E-23,6.12705540710703E-07,0,0,0,0,0,0,package://Smarticle_URDF/meshes/left_arm.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Smarticle_URDF/meshes/left_arm.STL,,Half_Arm-2;Servo - Assembly-4/Servo - Horn-1,Origin_left_servo,Axis_left_servo,left_servo,continuous,0.040642,-0.044679,0.025242,3.1416,0,0.017339,base_link,0,0,1,0.039,6.283,-3.15,3.15,,,,,,,,
